書刊名稱,出版日期,數量
2024年緊急應變指南,001,9999
游離輻射防護彙萃,002,9999
陸軍軍隊教學法教材,003,9999
陸軍化學兵連排戰鬥實務手册,004,9999
M110A2自走式8吋榴彈砲操作手冊,92.11.3,1
M114A1牽引式155公厘榴彈砲操作手冊,92.11.3,1
M2牽引式155公厘加農砲暨8吋榴彈砲操作手冊,92.11.3,1
M3機動浮門橋操作手冊,90.06.29,1
TH-67直升機訓練教範,114.11.20,1
陸軍LSB重框橋架設作業手冊(第一版),99.07.22,1
陸軍M107A1-12.7公厘狙擊槍操作手冊(第一版),103.6.3,1
陸軍M24 7.62公厘狙擊槍操作手冊(第一版),98.11.11,1
陸軍M2A2成功艇操作手冊(第一版),100.8.22,1
陸軍M82A1M-12.7公厘狙擊槍操作手冊(第一版),98.11.16,1
陸軍REPR-20 7.62公厘狙擊槍操作手冊(第一版),103.6.6,1
陸軍工兵測量儀器操作手冊(第二版),98.10.12,1
陸軍空中突擊作戰教範(第一版),100.9.7,1
陸軍空域管制作業手冊(第一版),102.8.27,1
陸軍特種作戰技術訓練手冊(上冊),114.12.4,1
陸軍特種作戰技術訓練手冊(下冊),114.12.4,1
陸軍特戰部隊訓練教範,111.11.29,1
陸軍航空部隊攻擊組教範(第二版),97.6.10,1
陸軍偵察突擊舟操作手冊(第二版),103.06.25,1
陸軍渡河訓練教範(第一版),98.09.02,1
陸軍據點群作戰教範(第一版),103.7.2,1
陸軍橋樑營、連作戰教範(第二版),103.10.02,1
聯合化生放核防禦教則(試行本)JP3.4.3,100.09.23,1
聯合特種部隊作戰計畫教則(草案)JP5.3,98.09.21,1
聯合資電作戰教則(試行本)JP3.4.1,100.09.23,1
聯合戰役計畫教則(草案)JP5.2,98.09.21,1
AN/PRC-174、VRC-174、176無線電機操作手冊,90.11.5,2
AN/PRC-77、GRC-160無線電機操作手冊,90.11.5,2
AN/VRC-46、47、49無線電機操作手冊,90.11.5,2
CTM-218/DX-15E多波道機操作手冊,90.11.5,2
FM-200/DX-15-60多波道機操作手冊,90.11.05,2
KY-1000A數位式電子交換機操作手冊,90.11.5,2
M101A1式105榴彈砲教練手冊,90.12.12,2
MGB中框橋操作手冊(上冊),90.09.24,2
MGB中框橋操作手冊(下冊),90.09.24,2
TH-67訓練手冊,112.10.30,2
W1102D壓路機操作手冊,96.05.02,2
反裝甲營、連作戰教則(第二版)(反裝甲部隊作戰教範),96.11.8,2
地雷作業手冊(第一版),97.10.31,2
兩棲偵察營作戰教範,112.8.30,2
拋繩槍操作手冊(第一版),96.11.19,2
直升機空中突擊訓練教範,111.12.5,2
空投暨保傘專長訓練手冊,111.10.5,2
空降導航及地面導引訓練教範,113.10.25,2
近程反裝甲火箭-APILAS操作手冊,89.11.30,2
近程反裝甲火箭-AT-4操作手冊,89.11.30,2
香檳710A平路機操作手冊,92.08.01,2
旅、營、連級野戰數位電子交換機操作手冊,112.11.08,2
特種作戰情報技術訓練教範(第一版),98.3.4,2
高空特種勤務中、區隊訓練教範(第一版),98.3.19,2
高空特種勤務中隊作戰教範,111.12.5,2
高空特種勤務技術專長訓練手冊(第一版),97.7.31,2
高空跳傘滲透專長訓練手冊,108.10.17,2
國軍武器系統與裝備整體後勤支援教則,104.12.29,2
旋翼機飛行訓練教範,96.5.2,2
旋翼機救生吊掛操作手冊,112.9.5,2
陸軍AH-1W訓練手冊-上冊,109.11.6,2
陸軍AH-1W訓練手冊-下冊,109.11.6,2
陸軍AH-64E訓練手冊(上冊),113.12.3,2
陸軍AH-64E訓練手冊(下冊),113.12.3,2
陸軍AH-64E訓練手冊(中冊),113.12.3,2
陸軍CH-47SD中型運輸直升機訓練教範(第一版),99.11.17,2
陸軍CH-47SD訓練手冊(上),112.11.17,2
陸軍CH-47SD訓練手冊(下),112.11.17,2
陸軍CM34輪型戰鬥車-30公厘機砲砲塔射擊訓練教範,114.11.20,2
陸軍CM34輪型戰鬥車-機砲訓練手冊,113.11.08,2
陸軍CS/VRC-518機動數位微波系統訓練手冊,112.11.30,2
陸軍M1式240公厘榴彈砲操作手冊(第二版),105.4.7,2
陸軍OH-58D訓練手冊(上冊),111.11.16,2
陸軍OH-58D訓練手冊(下冊),111.11.16,2
陸軍ROC203 PC爆破鑽孔機操作手冊,111.8.4,2
陸軍T108狙擊槍訓練手冊,111.7.13,2
陸軍T74V1 7.62公厘機槍操作手冊(第一版),100.11.23,2
陸軍T91 40公厘榴彈機槍操作手冊(第一版),100.11.23,2
陸軍UH-60M訓練手冊(上冊),113.12.3,2
陸軍UH-60M訓練手冊(下冊),113.12.3,2
陸軍UH-60M訓練手冊(中冊),113.12.3,2
陸軍八輪甲車-遙控槍塔操作手冊(第一版),100.11.23,2
陸軍八輪甲車-駕駛操作手冊(第一版),100.11.8,2
陸軍工兵小型機械操作手冊(第二版),110.6.7,2
陸軍工兵部隊指揮教則(第三版),102.05.28,2
陸軍工兵給水排作戰教範(第二版),102.11.13,2
陸軍工兵營、連訓練教範,106.10.20,2
陸軍水(海)域訓練教範,109.11.6,2
陸軍光(電)纜作業訓練手冊,112.11.30,2
陸軍合理冒險訓練手冊,113.12.11,2
陸軍地空指揮管制作業程序手冊,108.11.6,2
陸軍地區聯合保修廠作業手冊,106.8.15,2
陸軍多功能工兵車操作手冊,110.9.8,2
陸軍多管火箭砲兵營、連作戰教範,114.6.13,2
陸軍步兵連、排作戰教範,111.11.8,2
陸軍步兵營作戰教範(第三版),105.8.31,2
陸軍步兵營搜索排作戰教範,112.9.11,2
陸軍兩棲航海管理訓練教範,109.11.18,2
陸軍兩棲偵察技術專長訓練手冊(第一版),97.7.31,2
陸軍兩棲偵察連(排)訓練教範(第一版),97.7.2,2
陸軍服裝補給管理作業手冊,108.8.7,2
陸軍直升機作戰訓練系統(HTTS)訓練手冊,111.5.27,2
陸軍直升機作戰隊(特遣隊)作戰教範,110.11.17,2
陸軍直升機跳傘訓練手冊,107.11.07,2
陸軍空壓機操作手冊,110.8.25,2
陸軍近程反裝甲火箭彈訓練手冊-66火箭彈、紅隼火箭彈,113.9.20,2
陸軍保修教範,108.8.1,2
陸軍城鎮戰阻絕作業手冊(第一版),102.10.04,2
陸軍政治作戰教則,113.8.8,2
陸軍突擊兵訓練教範,107.11.6,2
陸軍美製RA-300型高空滲透系統操作手冊,110.12.14,2
陸軍英製AI-AXMC多重口徑高性能狙擊系統操作手冊,110.12.14,2
陸軍軍醫裝備補保作業手冊,111.12.7,2
陸軍迫擊砲射擊教範(一)國造75式60公厘迫擊砲,113.9.25,2
陸軍特戰狙擊部隊訓練教範,108.11.25,2
陸軍特戰部隊指揮教則,111.6.13,2
陸軍特戰裝備訓練手冊,108.11.25,2
陸軍特戰營作戰教範,111.7.22,2
陸軍班排手持式無線電機操作手冊,112.12.5,2
陸軍砲兵部隊指揮教則,106.11.21,2
陸軍航空旅戰術(標準)通話程序手冊,108.11.6,2
陸軍航空部隊分遣隊教範,114.10.21,2
陸軍航空部隊武器實彈射擊及靶場管理安全規定手冊(第一版),105.8.9,2
陸軍航空部隊突擊組教範(第二版),97.6.10,2
陸軍航空部隊飛行管理工作手冊,113.11.26,2
陸軍航空部隊特遣隊(戰鬥隊)訓練教範,111.11.29,2
陸軍航空部隊戰搜組教範(第二版),97.6.9,2
陸軍航空裝備維修手冊(第一版),105.6.21,2
陸軍高性能快艇操作手冊(第一版),99.11.10,2
陸軍通資連(排)教範,109.11.25,2
陸軍野戰防空砲兵營連作戰教範,106.11.1,2
陸軍野戰砲兵營、連作戰教範,110.4.13,2
陸軍野戰淨水裝備操作手冊(第一版),99.10.29,2
陸軍野戰移動式沐浴機操作手冊,107.5.30,2
陸軍野戰照明作業手冊,110.8.12,2
陸軍傘具裝備操作手冊,112.10.31,2
陸軍傷患後送作業手冊,107.10.11,2
陸軍補給庫儲作業手冊,107.5.30,2
陸軍裝土機操作手冊,112.10.6,2
陸軍裝甲部隊裝載手冊,112.12.13,2
陸軍戰車射擊教範,113.12.27,2
陸軍戰車排(單車)訓練教範,111.12.5,2
陸軍戰車駕駛訓練教範,113.12.27,2
陸軍戰車營、連訓練教範,111.12.13,2
陸軍戰鬥工兵營、連(排)作戰教範(第三版),102.11.13,2
陸軍機械化步兵連作戰教範,110.11.17,2
陸軍機械化步兵部隊裝載手冊,107.10.19,2
陸軍機械化步兵營、連作戰整備手冊,112.12.14,2
陸軍鷹眼雷達接戰管制系統訓練手冊,113.12.10,2
陸射劍二飛彈系統相列雷達車操作手冊,111.11.24,2
陸射劍二飛彈系統接戰管制車操作手冊,111.11.25,2
陸射劍二飛彈系統發射車操作手冊,111.11.22,2
陸射劍二飛彈系統運彈車操作手冊,111.11.23,2
復仇者飛彈系統桌上型訓練模擬器教學手冊(第一版),96.10.2,2
測量教範(上冊),91.08.16,2
測量教範(下冊),91.08.16,2
跳傘訓練教範,111.6.8,2
道路與機場教範(上冊),92.10.16,2
道路與機場教範(下冊),92.10.16,2
戰車簡易型訓練模擬器操作手冊(第一冊)(第一版),96.11.8,2
戰車簡易型訓練模擬器操作手冊(第二冊)(第一版),96.11.8,2
戰車簡易型訓練模擬器操作手冊(第三冊)(第一版),96.11.8,2
中共戰術,111.12.12,3
國軍未爆(廢)彈處理手冊,114.7.29,3
陸軍TS96式單眼單筒夜視鏡操作手冊(第一版),102.7.3,3
陸軍TS96式雙眼單筒夜視鏡操作手冊(第一版),102.7.3,3
陸軍工兵機械聯合作業教範,107.10.1,3
陸軍手榴彈實彈投擲訓練教範(第一版),104.7.3,3
陸軍目複型無人機運用手冊(草案),114.3.26,3
陸軍地雷戰教範(第二版),104.10.15,3
陸軍空運勤務手冊,110.11.26,3
陸軍阻絕教範,110.8.25,3
陸軍保修基地作業手冊(第二版),105.7.1,3
陸軍保修連作業手冊,109.8.6,3
陸軍後勤教則,109.8.10,3
陸軍砲兵部隊裝載手冊,107.10.11,3
陸軍航空兵部隊(航空旅作戰)指揮教則,110.10.18,3
陸軍航空基地消防手冊(第一版),98.11.19,3
陸軍通資部隊訓練教範,110.12.2,3
陸軍微型無人機運用手冊(草案),114.3.26,3
陸軍補給教範,109.6.3,3
陸軍裝甲騎兵連作戰教範,109.8.20,3
陸軍裝備品保作業手冊(第三版),105.10.31,3
陸軍裝騎(偵察)排作戰教範,109.8.21,3
陸軍運輸部隊勤務手冊,110.11.26,3
陸軍零件附件補給作業手冊,109.6.3,3
陸軍監偵型無人機運用手冊(草案),114.3.26,3
陸軍彈藥鑑整手冊(上冊),110.11.29,3
陸軍彈藥鑑整手冊(下冊),110.11.29,3
陸軍衛生勤務教範,109.11.25,3
陸軍衛勤設施作業手冊(第二版),104.8.11,3
陸軍戰車連作戰教範,109.8.20,3
陸軍機械化步兵營作戰教範,110.10.26,3
軍事工程教範,94.04.15,4
國軍聯合作戰指揮參謀組織與作業教則(94年修訂本),95.01.01,4
國軍聯合作戰指揮與管制規則,95.1.1,4
陸軍心理作戰教範(第二版),98.4.8,4
CM21系列國造履帶裝步戰鬥車操作手冊,96.5.2,5
M113系列甲車操作手冊,96.3.22,5
M48A5履帶機動橋操作手冊,87.06.30,5
TS83A2夜視鏡操作手冊,93.9.1,5
TS84A1夜視鏡操作手冊,93.9.1,5
V-150系列裝甲車操作手冊,96.3.22,5
地雷搜索器暨防護裝備操作手冊(第一版),96.11.19,5
國軍城鎮作戰教則(草案),95.12.16,5
國造T65K2步槍操作手冊,87.2.1,5
通資電部隊指揮教則,111.8.18,5
陸軍MK19-MOD3 40公厘榴彈機槍操作手冊(第二版),99.11.11,5
陸軍主件裝備管理作業手冊,107.8.31,5
陸軍空地整體作戰教則,108.12.16,5
陸軍通資參謀作業手冊,111.12.7,5
陸軍部隊火力支援協調作業手冊(第二版),101.9.19,5
陸軍復仇者飛彈系統操作手冊(第二版),99.11.10,5
陸軍網路交換機AVAYA操作手冊,111.9.14,5
陸軍戰術型近程無人飛行載具運用手冊,111.9.14,5
陸軍聯合戰術行動清單(第一版),99.4.13,5
陸軍雙目雷射望遠鏡操作手冊,110.11.17,5
爆破作業手冊,96.05.02,5
國軍聯合資電作戰教則(草案),96.02.13,6
陸軍消防車操作手冊,108.9.16,7
陸軍T85榴彈發射器操作手冊(第二版),101.9.6,9
T74排用機槍操作手冊,93.9.1,10
步兵旅作戰教則,112.12.13,10
國造T75班用機槍操作手冊,93.10.15,10
野戰砲兵戰術隊訓練教範,90.12.24,10
陸軍偽裝教範,111.12.12,10
陸軍野戰工事構築作業手冊(第一版),98.09.15,10
陸軍單位段維保作業手冊,110.11.26,10
陸軍裝甲騎兵營作戰教範,110.11.17,10
陸軍裝甲騎兵營訓練教範,110.11.02,10
陸軍戰車營作戰教範,110.9.29,10
陸軍戰場心理抗壓模擬訓練館系統操作手冊(第一版),101.10.24,10
渡河基礎作業手冊,95.04.07,10
爆破教範,95.03.01,10
M2-QCB式五〇重機槍操作手冊,93.9.10,15
夜戰教範,110.11.17,15
陸軍火力連作戰教範,111.12.5,15
陸軍聯合作戰指揮手冊(第一版),97.8.31,15
陸軍聯合兵種營作戰教範,111.12.19,15
陸軍人事教範,113.12.25,20
軍聯合兩棲作戰空中部隊作戰教則(草案),91.12.25,25
軍聯合空降作戰空中部隊作戰教則(草案),91.12.25,25
陸軍氣象教範,112.11.15,25
聯合兩棲作戰指揮參謀組織與作業教則(草案),91.03.05,25
聯合兩棲作戰登陸部隊作戰教則(草案),91.03.05,25
聯合空降作戰空降部隊作戰教則(草案),91.12.25,25
工事教範,91.09.25,30
國軍聯合兩棲作戰教則(草案),89.12.01,30
陸軍無人機戰術運用教範(草案),114.11.6,30
陸軍裝甲(機步)旅作戰教則,112.11.30,30
陸海聯合作戰教則(草案),89.12.29,30
輕兵器射擊教範(二)機槍、排戰鬥射擊,96.8.22,30
輕兵器射擊教範(三)40榴彈機槍、T85榴彈發射器、反裝甲武器,96.8.22,30
聯合空降作戰指揮參謀組織與作業教則(草案),91.03.05,30
聯合空降作戰教則(草案),90.02.20,30
陸軍野戰情報教範,112.12.14,40
陸軍生物偵檢器操作手冊(第一版),102.7.31,47
陸空聯合作戰教則(草案),89.12.28,49
海空聯合作戰教則(草案),89.12.01,50
陸軍城鎮教範(上冊),112.10.16,50
陸軍城鎮教範(下冊),112.10.16,50
陸軍核生化偵檢車操作手冊(上冊),106.11.9,50
陸軍核生化偵檢車操作手冊(下冊),106.11.9,50
陸軍核生化偵檢車操作手冊(中冊),106.11.9,50
輕兵器射擊教範(一)手槍、步槍,96.8.22,50
陸軍戰場情報準備作業教範,114.9.23,52
陸軍T75K3手槍操作手冊,108.1.29,54
陸軍37系列跳頻無線電機操作手冊,107.10.31,55
陸軍化安100人員消除車操作手冊(第一版),101.7.16,55
OWL化學警報器操作手冊,106.9.25,60
陸軍GID-3化學警報器操作手冊(第一版),103.5.20,60
陸軍PHD-6氣體偵測器操作手冊(第一版),103.9.26,60
陸軍作戰要綱,112.1.7,60
陸軍基本戰術(戰鬥)圖解手冊,112.12.13,60
陸軍基本戰術教則,112.12.13,60
陸軍生物偵檢車操作手冊,107.10.16,82
陸軍渦輪發煙機操作手冊(第一版),101.7.16,96
MD-105重型消毒車操作手冊,106.10.19,100
國造T91步槍操作手冊,93.10.15,100
陸軍化學兵煙幕部隊訓練教範,111.12.07,100
陸軍化學兵偵消部隊訓練教範,110.11.17,119
陸軍化生放核防護教範,111.12.7,150
陸軍化學兵專用裝備操作手冊,106.11.06,150
陸軍核化警報器操作手冊(第一版),98.7.22,150
火攻及反火攻訓練教範(第二版),96.9.26,200
陸軍機械發煙器運用手冊,114.11.20,200
化生放核作業中心手冊,109.10.19,204
化學通用裝備操作手冊,110.8.9,249
陸軍化生放核災害救援手冊,108.10.31,300
化學彈藥操作手冊,90.7.30,302
MDS-106輕型消毒器操作手冊,108.05.06,318
輕型消毒器操作手冊,91.5.31,390
